poem_id,poem_text,caption,date_time
P0018,"காட்சிகள் இல்லா கனவுகள் கண்டேன்...
கனவுகள் இல்லா கவிதைகள் கண்டேன்...
கவிதைகள் இல்லா காதலைக் கண்டேன்...
காதலே இல்லா காவியம் கண்டேன்... 

பெண்ணே, நீ இல்லா உலகினை கண்டேன்... 
இன்பமே இல்லா நரகினைக் கண்டேனே...",இவ்வுலகில் வாழும் அனைத்து பெண்மணிகளுக்கும் இனிய மகளிர் தின வாழ்த்துகள்...  #internationalwomensday #php #peachhouseperson #arivalan,2019-03-08T21:17:31
P0019,"உன்னோடு நடக்கையில் கடிகாரம் உறங்கிட...
நொடிகூட அளவாகி என்கையில் அடங்கிட...
உன்கைகள் கோர்த்திருக்க என்நெஞ்சம் நிறைந்தது...
என்மீது நீ சாய்ந்துறங்க என் ஏக்கம் குறைந்தது... 

தீயோடு பிறந்ததுனால் தான் எனோ 
என் தேகம் அடங்கவில்லை...
தீயுக்குள் பூப்பூக்கும் என பிறர்போல நானும் அறிந்ததில்லை...  
உன் வார்த்தைப்புயல் இடித்திட்ட  
மழையும் குறையவில்லை...
அதனோடு நேற்று நீ தந்த வலியும் மறையவில்லை...  

நான்காண்டு காத்திருக்க எனக்கொன்றும் கவலையில்லை...
நாலாண்டாய் காத்திருந்த நெஞ்சை நசுக்காமல் நீ சென்றால்...

நூறாண்டும் காத்திருப்பேன் அடி என் காதல் நீ ஏற்க...
ஒருநொடியும் வீணின்றி உன் கரங்கள் நான் கோர்க்க...  

ஒருபோதும் வெறுக்காதே 
ஓர் நொடிகூட தாங்கமாட்டேன்... 
விடைபெற்று செல்லாதே 
உன் குரல் இன்றி தூங்கமாட்டேன்... 

தீக்காயம் ஏதுமில்லை 
ஆனால் மனக்காயம் ஆரவில்லை...  
மருந்தாக நீ வரவே - இது 
இம்மானிடன் வேண்டும் சாகாவரம்....","It's still hurting... 
#php #peachhouseperson #arivalan",2019-03-17T08:25:52
P0020,"I wanna live the rest of my life crying...  
So that she join with her to pacify me. 


Atleast....😔",#php #peachhouseperson #arivalan,2019-04-09T12:33:31
P0021,"I thought that these emojis were just symbols... 

But just now understood that it feels like hell to send a smiley in sad mood...",#emotional #emojis_speak  #php #peachhouseperson #arivalan,2019-05-02T20:51:22
P0022,"சொப்பனம் ஒன்று கண்டேனடி... 
அது கற்பனையில்லை நிஜம்தானடி... 
காட்சிகள் அனைத்தும் நினைவில்...
அதை கவியாக இயற்ற நீ கேளடி... 

எழுத்தோன்றும் புரியாத ஓர் நகரம், 
அதில் எம்மொழி பேசிட எவரும் இல்லை, 
அன்பாவது பேசிடும் என நினைத்த தருணம், 
ஆனால் அங்கும் நான் அன்பிற்கு ஏங்கிடும் பச்சிளம்பிள்ளை... 

தனிமையில் கழித்தேனம்மா என் காலத்தை... 
உந்தன் நினைவுகளே குறைத்ததம்மா என் பாரத்தை... 
இடுக்கணின்றி கடந்து சென்றேன் அந்நேரத்தை... 
இருப்பினும் விழியோரம் தொலைத்து நின்றேன் என் தூக்கத்தை... 
 
வீடு திரும்ப நினைத்த மனதிற்கு பாதையொன்றும் அறியவில்லை, 
பார்த்த திசையெல்லாம் நடந்தும் பார்த்தேன் வீடும் தெரியவில்லை... 
கனவில்லை நிதர்சனம் என எண்ணத்தயங்கினேன் - இருந்தும் 
கண்களெல்லாம் கண்ணீரோடு வாழ துவங்கினேன்... 

சிருகாலம் கழித்த பின்னே ஒற்றுபோனேன்... 
நான உன்னோடு செய்த சத்தியத்தில் தோற்றும் போனேன்... 
கடலோரம் இருந்த சிப்பிகளை விற்று தின்றேன் - அதனோடு 
வீடுதிரும்பும் நம்பிக்கையை முற்றும் இழந்தேன்... 

தனியான வாழ்வினை துயரின்றி வாழ்ந்த நேரத்தில் 
திடுக்கென விழித்துப் பார்த்தேன் மருத்துவர் முகத்தினை 
சுடக்கோடு எனை எழுப்பி சுகம்வினவ... 
சுவர்மேல் கண்டேனம்மா எம்மொழியை... 

சொல் கொண்டேன்...
சுகம் என்றேன்...","கனவும் கதைகூறும்... 
#dreams  #inspiration  #thoughtsofmind  #php #peachhouseperson #arivalan",2019-05-03T14:33:18
P0023,பிறர்நலன் கருதி சுயநலன் கொண்டு அதில் தன்னலன் இல்லாது போய்விடுமோ....,"#வாழ்க்கை  
#நாடகம் #php #peachhouseperson #arivalan",2019-05-06T21:44:41
P0024,Don't keep someone too close to your heart cuz they can stab you anytime,"Stay awake and stay away 
#php  #peachhouseperson #arivalan",2019-06-05T23:58:05
P0025,It hurts so much when just good morning and goodnight messages pops up from you,"Loosening of bond 
#nomorelove #waitingforever #php #peachhouseperson #arivalan",2019-06-07T00:00:43
P0026,Those two who ruled my favourite soul list are now taking their topmost position in my To Forget list....,"Life sucks at day 1 
#php #peachhouseperson #arivalan",2019-06-10T18:05:10
P0027,"ஒட்டாத இதலுக்காக ஓயாமல் ஏங்கும் ஓர் இதயம் - நீ
ஒய்யாரமாய் இருந்ததால் ஓரமாய் ஒதுங்குதடி.... 

செய்யாத தவறுக்கு சேயோனை வதைத்தவளே - நீ 
சிறுஆர்வமமும் காட்டாமல் சென்றதால் செங்குருதி சிதறுதடி....  

உன்னோடு இருந்தது நினைவாக மாறிட... 
உன் கைகள் கோர்த்தது கனவாகி களைந்திட...  
கண்ணெதிரே நான் இருந்தும் கண் பார்க்க கூச்சம் கொண்டாய் - அன்பே
உந்தன் கண் முன்னே தொலைந்து போகிறேன்.... 
காத்திருந்த காதலின் கேள்வியில்
கதை இன்றி களைய போகிறேன்....  

இறுதியில் ஓர் விளக்கம்
களைந்து போகும் கனவின் கலக்கத்தில்...
கவிஎழுதும் கவிஞன் நான் 
நடிகன் அல்ல","#waitingforlove #Tamil #quit 
#php #peachhouseperson #arivalan",2019-06-18T20:49:29
P0028,"திணை போல நான் இருக்க  
திகழ் சேர்க்க வந்தவளே...  
திண்ணை அமைத்து காத்திருந்தேன் - அதை 
தீயிட்டு சென்றவளே....  

துகளாக நான் அலைய 
துயர் தீர்க்க வந்தவளே...
துணையாக நான் வரம் கேட்க 
தூரம் ஓடி சென்றவளே.... 

புகையில்லா தீ மூட்டி 
புலன் அனைத்தும் படைத்தவளே... 
புனை ஒன்றை நீ சூட்டி 
பூகம்பம் போல் புதைந்தவளே....

முதல்முறையில் நான் மறுக்க - நீ 
முப்பொழுதும் வேண்டி நின்றாய் - இன்று 
முகம் பார்க்க தினம் ஏங்கும் நான்...
மூளையில்லா மூடனடி....","Missing her... 
Eternal Reality  
#php 
#peachhouseperson #arivalan",2019-07-25T23:43:19
P0029,"I'm in a mood to take a drive 
Straight and straight for miles
I don't wanna stop my run 
Until I drown 
Or until I fly 
Or until I get smashed 
Or until I die... 

No more bends
And no more curves
And all I hope is to reach my place with all the nerves 

Cuz everytime I bend I get far from my destiny",#destiny  #fakelove #neednoone #nomoretears  #php #peachhouseperson #arivalan,2019-08-19T08:30:34
