poem_id,poem_text,caption,date_time
P0172,"பகிர்தலின் எல்லையில்
பதுக்கி வைத்த அவள் அன்பை
உணர்தலின் எல்லையில்
ஒவ்வொன்றாய் நான் ரசித்தேன்",காதல் தினம் தினம் 106 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-01T23:32:23
P0173,"மழையும்
சாலையும்
மடியினில் நீயும்
சாய்ந்து உறங்கும் அழகும்
சத்தம் எதுமின்றி சந்தோஷ கூச்சலிடும் நிலவும்
சாகாவரம் பெற்றோனை சொடுக்கில் கொல்லும் இன்பம்",காதல் தினம் தினம் 107  #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-02T23:42:31
P0174,"மாற்றத்தை தேடும் போது 
மறைந்து போன உன்னுருவை
கூட்டத்தில் நான் கண்டு
குழந்தையென தொலைந்து விட்டேன்",காதல் தினம் தினம் 108 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-03T23:50:51
P0175,"இளஞ்சிவப்பு நிறம் என்பேன் 
உன் இதழ் பட்டு திரும்பும் ஒளிக்கீற்றை
இமைகளிலே அடைத்து வைப்பேன்
உந்தன் இதழ் வந்து இமைகளிடன் கேட்கும் வரை",காதல் தினம் தினம் 109 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல்  #காதல்தினம்தினம்,2021-09-04T23:46:44
P0176,"தேடித் தேடியே தொலைத்த வாழ்வினில்
தேகம் மண்ணுடன் தொலைந்து போயினும்
காதல் ஒன்றிலே காவியமாய் - நான்
காலம் தாண்டியும் வாழ்ந்திடுவேன்...",காதல் தினம் தினம் 110 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-05T22:51:22
P0177,"காற்றில் பறவை கவிதை பாட
காடும் கடலும் இசைக்கென ஆட
வீட்டில் இருந்த எந்தன் நெஞ்சம்
விண்ணில் பாய நின்முகம் கண்டேன்",காதல் தினம் தினம் 111 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-06T23:45:39
P0178,"ஓய்வில்லா இரவுகளில்
ஒய்யார இசை பாடும் நகரம்
ஓடாத நாட்களிலே
உன் கதை சொல்லி மகிழுதம்மா",காதல் தினம் தினம் 112 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல்  #காதல்தினம்தினம்,2021-09-07T23:35:50
P0179,"கொண்டாடி மகிழும் நாட்களெல்லாம்
உன் கண் கண்டு விழித்திட மனம் ஏங்க
என் துண்டான வாழ்கையில்
துயர் நீக்க வந்தவள் 
உண்டாக்கும் தருணத்தை தினம் கேட்டேன்",காதல் தினம் தினம் 113 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல்  #காதல்தினம்தினம்,2021-09-08T23:51:22
P0180,"என் சிறு உலகில்
நீ எனும் வரிகள்
உன்னுடன் சேரும்
நான் எனும் கனவு
அன்புடன் கூட
நாம் எனும் கவிதை
கொண்டதோர் தருணம் 
நம் புது வாழ்கை...",காதல் தினம் தினம் 114 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-09T23:34:56
P0181,"போ என்று சொன்னாலும்
பொய் காதல் தந்தாலும்
வாழாத வாழ்க்கையினை
உன்னோடே வாழ்ந்திடுவேன்...",காதல் தினம் தினம் 115 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-10T23:48:04
P0182,"நினைவென்ற கடலில்
நிலையற்ற ஓடம்
நீருக்குள் மூழ்கி
நீச்சலிடும் மனம்
முத்தெடுக்க சென்றோனை
முத்தமிட்ட கடல்
ஓடமேற நினைக்கயிலே
ஓடி வந்த அலை",காதல் தினம் தினம் 116 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-11T23:50:11
P0183,"காற்றில் ஆடும் இறகைப் போல
காதல் என்னை தூக்கிச் செல்ல
அழகே உந்தன் இதயம் கண்டு
அருகில் வந்தேன் அமைதி கொண்டேன்",காதல் தினம் தினம் 117 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-12T23:28:46
P0184,"கவிதைகளில் மட்டும் 
கரம் பிடித்த உன்னை
நினைவுகளில் சிறைப்பிடித்து
எனதாக்கிக் கொண்டேனே",காதல் தினம் தினம் 118 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-13T23:53:50
P0185,"நொடியில் மறையும் மின்னல் போல
என் துயரை தூக்கி செல்லும் இவளை
என் துணையாய் கொள்ளும் தருணம் வேண்டி
பல ஜென்மம் யாவும் கடந்து வந்தேன்",காதல் தினம் தினம் 119 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல்  #காதல்தினம்தினம்,2021-09-14T23:52:12
P0186,"அன்பின் விழியில்
அல்லாடும் என் நெஞ்சம்
பண்பின் பகைவரிடம்
போராடி தோற்பினும் 
கண்முன் வந்து நின்ற
கண்மணியின் உருவத்தினால்
விண்மீன் பலகோடியின்
வரங்களுக்கு ஆளானேன்...",காதல் தினம் தினம் 120 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-15T23:50:42
P0187,"இரவில் உலவும் மேகம் போல
கனவில் உன்னை தேடும் நெஞ்சம்
உன் நிழலின் ஒளியை தொடர்ந்து சென்று
என் நிலவின் ஒளியில் மறைந்து கொண்டது",காதல் தினம் தினம் 121 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-16T23:55:28
P0188,"காதலின் வாசம் என்னை
கண்கட்டி இளுக்கையிலே
நாவினில் உந்தன் பெயரே
நாட்கணக்காய் இனிக்குதடி",காதல் தினம் தினம் 122 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-17T23:39:49
P0189,"உறக்கத்தை தள்ளி வைத்தேன் - அன்பே
உந்தன் பூமனம் கூறிடும் புதுக் கதை கேட்கவே",காதல் தினம் தினம் 123 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல்  #காதல்தினம்தினம்,2021-09-18T23:43:14
P0190,"நினைவோ நிஜமோ - நின்மனம்
நான் கவர்ந்த நொடிகள்
நிலவின் ஒளியாய் - என்முகம்
நீ ரசிக்கும் விழிகள்",காதல் தினம் தினம் 124 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-19T23:54:59
P0191,"இசையாத மனதில்
இவள் சத்தம் கேட்க
அசையாத தலையும்
அதற்கேற்ப ஆடும்",காதல் தினம் தினம் 125 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-20T23:34:57
P0192,"காணும் காட்சியெல்லாம்
கண்ணெதிரே கானலாக
கண்மணியின் பார்வைமட்டும்
காதலான மாயமென்ன...",காதல் தினம் தினம் 126 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-22T00:07:15
P0193,"வெண்மேகம் மூழ்காது பெண்ணே
உன் வெண்மனதின் ஆழத்தை அறியும் வரை
எந்நாளும் ஓயாமல் தேடி
உன் கண் கண்டு மழையாகி பொழியும் வரை",காதல் தினம் தினம் 127 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-22T23:34:21
P0194,"கண்களின் காதலும் கண்ணெதிர் கோபமும்
பின்வரும் நாட்களை இன்பமாய் மாற்றுமோ
உன்னுடன் தேடிய என் சிறு வாழ்வினை
கண்கட்டி வித்தையாய் மண்ணுடன் மூடுமோ",காதல் தினம் தினம் 128 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-23T23:44:17
P0195,"எல்லாமே அழகுதான்...

என் நெஞ்சுடன் நீ தந்த நினைவுகளால்
உன் கண்வழி நான் காணும் என்னுருவம்
நம் நெருக்கத்தில் பிறந்திட்ட கனவுகளால்
இவ்வுலகத்தில் நான் காணும்
புது காவியம்",காதல் தினம் தினம் 129 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-24T23:43:06
P0196,"உறக்கம் காணா விழிகள்
உன்னிடம் உணர்வை சொல்ல துடிக்க
இரக்கம் அற்ற சொற்கள் தினம்
இதழை தாண்ட மறுப்பதேனோ...",காதல் தினம் தினம் 130 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-25T23:50:54
P0197,தீண்டிடும் தேகம் தேளுடையதாயினும் அதற்குள்ளும் உண்டு அரவணைக்கும் அன்பு...,காதல் தினம் தினம் 131 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-26T23:43:25
P0198,"தீயில் வாடும் இலைகளையும்
தாங்கி நின்ற மரக்கிளையாய்
ஆயுள் முழுதும் காதலிப்பேன்
உன் ஆருயிராய் தினம் காத்திருப்பேன்",காதல் தினம் தினம் 132 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-27T23:12:36
P0199,"மனதின் ஓரத்தில்
மையம் கொண்ட புயல் ஒன்று
மின்னல் பார்வையிலே
மெய் தீண்டா மழை ஆனதேன்?",காதல் தினம் தினம் 133 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம் #200thquote,2021-09-28T23:44:15
P0200,"எழுதாத வரிகளில் 
என் காதல் வாழ்ந்திட
எதிர்பாரா கவிதைகள்
எவர்க்கானதோ

எதிர்பார்ப்பு ஏதுமின்றி
எய்யாமை ஏந்தி வந்த
எண்ணங்கள் யாவும்
எனக்கானதோ",காதல் தினம் தினம் 134 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-29T23:53:41
P0201,"விண்ணோடு வாழ்ந்திடும்
நட்சத்திர கூட்டங்கள்
என்னோடு வருவதாய்
நான் கானல் கண்டேனே...

உன்னோடு கை கோர்க்கும்
நொடி தன்னை எதிர்பார்த்து
என் கானல் நனவாகும்
தருணங்கள் கொண்டேனே...",காதல் தினம் தினம் 135 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-09-30T23:28:46
P0202,"குளம்பியும் நானும்
குமரியின் பேச்சில்
குழம்பி தவித்த நொடிகள்
காண்பதற்கு அழகே...",காதல் தினம் தினம் 136 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-01T23:35:39
P0203,"தினந்தோறும் ஓர் கவிதை
எந்தன் திரளான காதல் தனை பரிசளிக்க
தளராத சிறு நெஞ்சமுடன் 
என் தரை கண்ட கனவினை கையில் பெற",காதல் தினம் தினம் 137 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-02T23:27:42
P0204,"பேனா முனையில்
வந்த பெண்ணின் உருவம்
தேடி பயணம் சென்ற
எந்தன் இதயம் எங்கே...",காதல் தினம் தினம் 138 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-03T23:31:10
P0205,"இரவு சொல்லும் கதைகளில்
எந்தன் இதயம் இயக்கும் திரைப்படம் - அதில்
உன் இனிய குரலின் வசனங்கள்
யாவும் இயற்கை கடந்த இசை வரம்",காதல் தினம் தினம் 139 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-04T23:32:31
P0206,"உன் குரல் கேட்கையில்
உள்ளிருக்கும் ஆனந்தம்
கண்வழி காதலாய்
கரைந்து வரும் மாயம் என்ன",காதல் தினம் தினம் 140 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-05T23:47:44
P0207,"மழை ஓய்ந்த பின்னும்
மனம் இங்கு நனைகிறதே
வெயில் வந்த பின்னும்
கடும் பனியிலே உறைகிறதே",காதல் தினம் தினம் 141 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-06T23:42:31
P0208,"தென்னகம் தேடிய தேன்மழை அவளோ
என்னகம் தேடிய தேவதை அவளோ
கண்ணிலே ஆயிரம் வண்ணங்கள் கொண்டு
என்சிறு வாழ்வினை வர்ணித்த நிரலோ",காதல் தினம் தினம் 142 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-07T23:24:39
P0209,"மழை கொட்டி தீர்க்கும் இரவுகளில்
அலை அலையாய் உன் நினைவுகளும்
அவை தொட்டுப் பார்த்த என் மனதில்
வித விதமாய் சில கனவுகள்",காதல் தினம் தினம் 143 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-08T23:24:08
P0210,"ஒளியாக நீ வரவே
பகல் வெறுத்த பாமரன் நான்",காதல் தினம் தினம் 144 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-09T23:37:30
P0211,"வெண்ணிலவின் வருகை கண்டு
வெட்கப்படும் விண்மீன் கூட்டம்
மீதமுள்ள இரவை எண்ணி
மினுமினுத்தே உன்னை கவரும்",காதல் தினம் தினம் 145 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-10T23:40:17
P0212,"வெற்றிடங்கள் கொண்ட நெஞ்சை
வென்றெடுக்க வந்த நீயோ
சொற்பமாக சேர்த்த கனவை
சூறையாடி சென்றதென்ன",காதல் தினம் தினம் 146 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-11T23:37:38
P0213,"அன்பான கரங்களில்
ஆயுள் கடக்க வேண்டுமென
வற்றாத காதலுடன்
வந்து சேர்ந்தேன் உன்னிடத்தில்...",காதல் தினம் தினம் 147 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-12T23:51:18
P0214,"இரவின் புன்னகையை
திருடிச் சென்ற இளங்காற்றே - நீ
இனியும் குறும்பு செய்தால் - என்
இதயக்கூட்டில் அடைபடுவாய்...",காதல் தினம் தினம் 148 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-13T23:35:00
P0215,"மன வெளியெங்கும்
மலர் வனமே - உன்
தேன்குரல் மழையாய்
பொழிந்திடவே...",காதல் தினம் தினம் 149 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-14T23:40:27
P0216,"மறைக்கப்பட்ட காயங்களில்
மறைத்து வைத்த உன் நினைவோ
மனதை கவரும் இசையோடு
மன்னன் மயங்க வழி வகுத்ததே...",காதல் தினம் தினம் 150 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-15T23:25:34
P0217,"வீசும் காற்றில் கரையும் 
மேகம் நீயானால்...
பேசும் குழந்தை மறைத்த
தாகம் நானாவேன்...",காதல் தினம் தினம் 151 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-16T23:23:03
P0218,"என் சிறு வாழ்வினில் 
யார் தந்த வானவில்
என்னுடன் சேரவே
ஏக்கங்கள் கொள்ளுதே
எல்லைகள் தாண்டியும்
ஏழேழு ஜென்மமாய்
என் விரல் இடுக்கினை
என்றென்றும் தேடுதே...",காதல் தினம் தினம் 152 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-17T23:28:33
P0219,"சொல்லில் அடங்கா 
சோகங்கள் சூழ்ந்தினும்
சொல்லாத காதலே
சுகம் தன்னின் உச்சம்...",காதல் தினம் தினம் 153 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-18T23:32:20
P0220,"வெண்ணிலவு சாட்சியாக
வெட்கம் கொள்ளும் வானவில்லை
பெண்ணவளின் பார்வைக்கு
பரிசாக நான் தருவேன்...",காதல் தினம் தினம் 154 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-19T23:32:30
P0221,"கண் விழித்து பார்த்த போது
கண்மணியை காணவில்லை
கண் கசக்கி எழுந்து வர
கனவும் இங்கு போதவில்லை",காதல் தினம் தினம் 155 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல்  #காதல்தினம்தினம்,2021-10-20T23:04:01
P0222,"வாழும் காலமெல்லாம்
வானவிலே உன்னை தேடி
வெயிலில் மழையாய் என்
வாலிபத்தை பொழிந்து வந்தேன்...",காதல் தினம் தினம் 156 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-21T23:46:24
P0223,"சுதந்திர மனதில்
சுவர் ஒன்று எழும்ப
சிறு பிள்ளை நானே
சிறைபட்டு விட்டேன்",காதல் தினம் தினம் 157 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-22T23:41:28
P0224,"யாருமில்லா நேரத்தில்
யான் தொடர்ந்த காதல் ரதம்
உன்னருகே வந்தவுடன்
ஊனமான மாயம் என்ன",காதல் தினம் தினம் 158 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-23T23:54:28
P0225,"முடிவில்லா கதைகளிலே
மூன்றெழுத்து மையம் கொள்ள
முன்கதையாய் இருந்தவளே
முழு கதையாய் ஆனதென்ன",காதல் தினம் தினம் 159 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-24T23:50:27
P0226,"நேரம் கிடைக்கும் போதெல்லாம்
என் நெஞ்சில் அவளின் அரங்கேற்றம்
தினம் கண்கள் மூடி தூங்கும் போது
கண்ணீர் அவளை பறைசாற்றும்",காதல் தினம் தினம் 160 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-25T23:48:20
P0227,"சொல்லாத காதலே சுகமானதே
அதை சொல்லிடும் போதிலும் சுகமானதே
நில்லாத காலங்கள் காத்திருக்க
அவள் அசையாமல் நிற்பதே வலியானதே...",காதல் தினம் தினம் 161 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-26T23:48:43
P0228,"கண்ணில் ஆயிரம் காட்சியுடன்
கனவும் ஒன்று கலந்திருக்க
பெண்ணே எந்தன்
காதல் ஏற்றது
கனவா நிஜமா
மனம் வினவ

கண்ணில் கண்டவை நிஜமெனவும்
நெஞ்சில் பாய்ந்திட கனவெனவும்
எந்தன் இருதயம்
என்னை குழப்பிட
உன்னை விலகிடும்
முடிவு கொண்டேன்",காதல் தினம் தினம் 162 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-27T23:49:38
P0229,"நிழலாக இருந்திடவே
நின் காதல் வேண்டி நிற்க
நித்திரையை இழந்தாலும்
நிலவொளியாய் உனைக் கண்டேன்",காதல் தினம் தினம் 163 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-28T23:41:07
P0230,"காதல் சொல்லும் நேரம் இங்கே
காற்றில் வரும் தூது
கவிதை ஏந்தி செல்லும் நேரம்
கனமாய் ஆனது ஏனோ",காதல் தினம் தினம் 164 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-29T23:44:36
P0231,"என் மனதுள் எனக்கெனவே
ஓர் காதல் எழுச்சி பெற
என்றென்றும் பொன்கவியாய்
உன் பெயரே விரல் நுனியில்",காதல் தினம் தினம் 165 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-30T21:57:48
P0232,"நட்சத்திரங்கள் முகாமிட
நங்கை அவள் கூந்தல் கேட்பின்
நிறைவுடனே அவளும் சொல்வாள்
நெஞ்சுடனே நீயும் வா என...",காதல் தினம் தினம் 166 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-10-31T23:32:10
P0233,"புயல் அடித்து ஓய்ந்த ஊரில்
புதையல் ஒன்று காட்சி தர
புதுப்பொழிவை ஏந்தி வந்தேன்
பூமனதை கையில் தந்தேன்",காதல் தினம் தினம் 167 #php #peachhouseperson #arivalan #kadhalthinamthinam #காதல் #இரவுக்கவிதை #காதல்தினம்தினம்,2021-11-01T23:23:27
P0234,"அடைமழை மாலையில்
அவள் விரல் கோர்த்திட
அல்லாடும் மனதிடம்
எவ்வாறு நான் சொல்வேன்

அவள் இங்கு இல்லையென...",காதல் தினம் தினம் 168 #php #peachhouseperson #arivalan #kadhalthinamthinam #காதல் #இரவுக்கவிதை #காதல்தினம்தினம்,2021-11-02T23:35:38
P0235,"பேனாவும் காகிதமும்
கதை பேசும் போதினிலே
தேனான என் நெஞ்சில்
அலைமோதும் உன் நினைவோ
காணாத காட்சிகளை
கண்முன்னே கவியாக்க
தீராத மை கொண்டு
உன் பெயரை தினம் கிறுக்கும்",காதல் தினம் தினம் 169 #php #peachhouseperson #arivalan #kadhalthinamthinam #காதல் #இரவுக்கவிதை #காதல்தினம்தினம்,2021-11-03T23:50:24
P0236,"வண்ணங்களை அள்ளி 
வானிலே தூவ
வழியெங்கும் சாயமாய்
புகைகொண்ட நாளிலே

ஒளிகீற்றின் இடையே
ஒளிந்திருந்த பூவை
ஓராயிரம் கண்கொண்டு
பார்த்த நொடி காதல்...",காதல் தினம் தினம் 170 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-04T23:22:39
P0237,"எங்கோ தொலைவினில் நீ இருக்க
எந்தன் விழிகளில் உனைக் கண்டேன்
என்றோ பிறந்திட்ட விரிசல்களில்
எந்தன் இருதயம் விழக் கண்டேன்",காதல் தினம் தினம் 171 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-05T23:51:19
P0238,"கண் மூடும் நொடிகளிலும்
கையருகே நீ இருக்க
காலம் அதை உனக்கெனவே
காவியமாய் நான் தொகுப்பேன்",காதல் தினம் தினம் 172 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-06T23:51:54
P0239,"திசை மாறிய பறவையாய்
தினம் உன்னை தேடிட
தொடும் தூரம் கண்ட பின்னும்
தொலைந்து போனேன் கானலில்",காதல் தினம் தினம் 173 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-07T23:38:01
P0240,"இருள் போர்த்திய காலையில்
குளிர் என்னை சீண்டிட
விழி ஒன்றின் வெப்பத்தில்
விடியல் தருவது நீ அல்லவோ...",காதல் தினம் தினம் 174 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-08T23:27:22
P0241,"தொலைத்திட ஏதுமில்லை 
தொலைந்த உன்னை தேடும் கண்களிடம்
ஒருதினம் உன்னைக் காண
ஓயாமல் துடிக்கும் என் சிறு இதயமிடம்",காதல் தினம் தினம் 175 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-09T23:02:06
P0242,"நீ பேசிய வார்த்தைகளை
நினைவோடு ஒப்பிட்டு
நீங்காத கனவு ஒன்றில்
நிலையின்றி நான் தவித்தேன்",காதல் தினம் தினம் 176 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-10T23:56:29
P0243,"போகாத பாதையெல்லம்
பேதை அவள் நிழலை தேடி
பொன்னிறத்தின் ஒளியில் எந்தன்
பூமயிலை கண்டறிந்தேன்",காதல் தினம் தினம் 177 #php #peachhouseperson #arivalan #kadhalthinamthinam #காதல் #காதல்தினம்தினம் #இரவுக்கவிதை,2021-11-12T00:07:09
P0244,"தினமும் உன் நினைவில்
கவிதை ஒன்று இயற்ற
எனை நானே மறந்தேன்
கனவில் எனை தொலைத்தேன்",காதல் தினம் தினம் 178 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-12T23:51:32
P0245,"பேருந்து பயணத்திலே
பேதை அவள் நினைவு ஒன்று
பாமரன் எனை பார்த்தவுடன்
பல்லக்கில் ஏற்றி மகிழுதம்மா...",காதல் தினம் தினம் 179 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-13T23:45:34
P0246,"என் கண்கள் காணாத உலகத்தினை
என் கவியில் படைத்திட்டே கனவு கண்டேன்
என் நெஞ்சம் தீண்டாத நினைவுகளை
ஓர் நிரந்தர துணையாய் கருத்தில் கொண்டேன்",காதல் தினம் தினம் 180 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-14T23:38:40
P0247,"இமை மூடிய சில பொழுதுகளில்
என் விரல் மீது அவள் விரல் உரச
அவள் விழி வழியே எனைக் கண்டு
என் புதிர் விடையை நானறிந்தேன்",காதல் தினம் தினம் 181 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-15T23:48:24
P0248,"திகட்டும் வார்த்தைகளுக்கு இடையே
உந்தன் தனல்விழி மௌனம் எனை
திருடியது ஏனோ..?",காதல் தினம் தினம் 182 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம்,2021-11-16T23:56:11
P0249,"நிழலாக நீ வரவே
வெயில் வேண்டி நான் நகர்ந்தேன்
நகல் போல வந்தருள்ந்தாய்
நடை பயணம் முடிவு பெற...",காதல் தினம் தினம் 183 #php #peachhouseperson #arivalan #kadhalthinamthinam #இரவுக்கவிதை #காதல் #காதல்தினம்தினம் #250thquote,2021-11-17T23:34:31
